"","Period","Type1_ATT","Type2_ATT","Type3_ATT"
"148","Nov-22",1395183,42644,740977
"149","Dec-22",1437681,36592,819806
"150","Jan-23",1243898,42076,682364
"151","Feb-23",1206386,41717,666176
"152","Mar-23",1372403,46803,746745
"153","Apr-23",1271145,42632,716211
"154","May-23",1400815,45826,794708
"155","Jun-23",1389009,46196,785749
"156","Jul-23",1379854,45513,769533
"157","Aug-23",1323647,43923,738580
"158","Sep-23",1369045,42631,754065
"159","Oct-23",1413560,44769,761289
"160","Nov-23",1385701,42365,734056
"161","Dec-23",1383876,39282,756074
"162","Jan-24",1397645,42835,784555
