"","Datef","Att_TypeI","Min_date","Max_date","weekday"
"143",2022-06-01,1400664,2010-08-01,2023-11-01,"Wed"
"144",2022-07-01,1397083,2010-08-01,2023-11-01,"Fri"
"145",2022-08-01,1299083,2010-08-01,2023-11-01,"Mon"
"146",2022-09-01,1301611,2010-08-01,2023-11-01,"Thu"
"147",2022-10-01,1399185,2010-08-01,2023-11-01,"Sat"
"148",2022-11-01,1395183,2010-08-01,2023-11-01,"Tue"
"149",2022-12-01,1437681,2010-08-01,2023-11-01,"Thu"
"150",2023-01-01,1243898,2010-08-01,2023-11-01,"Sun"
"151",2023-02-01,1206386,2010-08-01,2023-11-01,"Wed"
"152",2023-03-01,1372403,2010-08-01,2023-11-01,"Wed"
"153",2023-04-01,1271145,2010-08-01,2023-11-01,"Sat"
"154",2023-05-01,1400815,2010-08-01,2023-11-01,"Mon"
"155",2023-06-01,1389009,2010-08-01,2023-11-01,"Thu"
"156",2023-07-01,1379854,2010-08-01,2023-11-01,"Sat"
"157",2023-08-01,1323647,2010-08-01,2023-11-01,"Tue"
"158",2023-09-01,1369045,2010-08-01,2023-11-01,"Fri"
"159",2023-10-01,1413560,2010-08-01,2023-11-01,"Sun"
"160",2023-11-01,1385701,2010-08-01,2023-11-01,"Wed"
